Country,GDP/Capita,Population,Daily tests,Cases,Deaths,Percent Cases,Percent Deaths
Bhutan,3316.2,807610,508007.0,102917.0,52.0,12.74,0.01
Morocco,3204.1,35739580,5040339.0,59310132.0,1021470.0,165.95,2.86
Vietnam,2715.3,95540800,333691.0,329208.0,6973.0,0.34,0.01
Nigeria,2229.9,190886311,702055.0,18705705.0,306223.0,9.8,0.16
Ghana,2202.1,28833629,716169.0,12607976.0,78701.0,43.73,0.27
India,2099.6,1339180127,204644073.0,1717153550.0,26247654.0,128.22,1.96
Bangladesh,1855.7,164669751,4000307.0,100266545.0,1444745.0,60.89,0.88
Kenya,1816.5,49699862,571950.0,14837701.0,262445.0,29.85,0.53
Mauritania,1679.4,4420184,23429.0,2471645.0,59254.0,55.92,1.34
Zimbabwe,1464.0,16529904,367631.0,3107748.0,98448.0,18.8,0.6
Senegal,1446.8,15850567,391577.0,4373415.0,92481.0,27.59,0.58
Myanmar,1407.8,53370609,2407793.0,14882072.0,328486.0,27.88,0.62
Zambia,1305.1,17094130,1044305.0,5469924.0,96458.0,32.0,0.56
Pakistan,1284.7,197015955,8464881.0,98566129.0,2066115.0,50.03,1.05
Nepal,1071.1,29304998,2118272.0,37146699.0,250296.0,126.76,0.85
Ethiopia,855.8,104957438,2113808.0,21025388.0,325103.0,20.03,0.31
Rwanda,820.0,12208407,790831.0,1670281.0,16394.0,13.68,0.13
Uganda,794.3,42862958,544668.0,4270321.0,35405.0,9.96,0.08
Togo,679.3,7797694,233786.0,680544.0,13285.0,8.73,0.17
Madagascar,523.4,25570895,28934.0,3835585.0,52816.0,15.0,0.21
Mozambique,503.6,29668834,407114.0,3868782.0,34858.0,13.04,0.12
Malawi,411.6,18622104,57004.0,2206727.0,66149.0,11.85,0.36
